trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_input_len,cfg_layer,cfg_num_heads,cfg_num_layers,cfg_prompt,metric_avg_entropy,metric_avg_top5_mass,metric_avg_top_prob,metric_budget_frac,metric_budget_tokens,metric_entropy_max,metric_entropy_mean,metric_entropy_min,metric_entropy_std,metric_focused_head_count,metric_h2o_quality,metric_h2o_vs_window,metric_layer,metric_max_top_prob,metric_memory_saved_pct,metric_min_top_prob,metric_most_diffuse_head_entropy,metric_most_focused_head_entropy,metric_nonfinite_token_steps,metric_num_tokens,metric_seq_len,metric_sink_mass_max,metric_sink_mass_mean,metric_sink_quality,metric_skip_rate_50,metric_skip_rate_80,metric_skip_rate_90,metric_skip_rate_95,metric_skip_rate_99,metric_sparsity_mean,metric_valid_tokens,metric_window_quality
real_model_analysis_phi_2_t0020,completed,0.0000,0.1,kv_cache_real,,17,,,code_simple,,,,0.1,4,,,,,,0.8394292921586515,152.764939028999,17,,90.0,,,,,,47,,,0.38648489064057323,,,,,,,,0.005494908042998692
real_model_analysis_phi_2_t0021,completed,0.0000,0.1,kv_cache_real,,18,,,code_simple,,,,0.1,4,,,,,,0.8328904313779282,118.56445777651327,18,,90.0,,,,,,47,,,0.38953592895171396,,,,,,,,0.007024790118366464
real_model_analysis_phi_2_t0022,completed,0.0000,0.1,kv_cache_real,,19,,,code_simple,,,,0.1,4,,,,,,0.8278407974897448,148.69204840178529,19,,90.0,,,,,,47,,,0.37819118456316464,,,,,,,,0.00556748532546146
real_model_analysis_phi_2_t0023,completed,0.0000,0.1,kv_cache_real,,20,,,code_simple,,,,0.1,4,,,,,,0.8704102844301511,177.2919460536649,20,,90.0,,,,,,47,,,0.38704236762916006,,,,,,,,0.004909474478703531
real_model_analysis_phi_2_t0024,completed,0.0000,0.1,kv_cache_real,,21,,,code_simple,,,,0.1,4,,,,,,0.829819888913789,226.0699351872926,21,,90.0,,,,,,47,,,0.3715864682641495,,,,,,,,0.0036706335507474997
real_model_analysis_phi_2_t0025,completed,0.0000,0.1,kv_cache_real,,22,,,code_simple,,,,0.1,4,,,,,,0.8909991124454368,308.2370926702581,22,,90.0,,,,,,47,,,0.3720439060321896,,,,,,,,0.0028906291086731677
real_model_analysis_phi_2_t0026,completed,0.0000,0.1,kv_cache_real,,23,,,code_simple,,,,0.1,4,,,,,,0.8593269316850262,183.0307730820062,23,,90.0,,,,,,47,,,0.38023048401301845,,,,,,,,0.004694986079198869
real_model_analysis_phi_2_t0027,completed,0.0000,0.1,kv_cache_real,,24,,,code_simple,,,,0.1,4,,,,,,0.8821604843275984,491.9679695474824,24,,90.0,,,,,,47,,,0.3683787090138387,,,,,,,,0.0017931258515448056
real_model_analysis_phi_2_t0028,completed,0.0000,0.1,kv_cache_real,,25,,,code_simple,,,,0.1,4,,,,,,0.9109881633118183,335.9367312107648,25,,90.0,,,,,,47,,,0.36791483681577214,,,,,,,,0.002711784924585307
real_model_analysis_phi_2_t0029,completed,0.0000,0.1,kv_cache_real,,26,,,code_simple,,,,0.1,4,,,,,,0.8899724014474225,535.465507905995,26,,90.0,,,,,,47,,,0.36486298605885137,,,,,,,,0.0016620536492215365
