trial_id,status,duration_s,cfg_bits,cfg_hidden_dim,cfg_layer_idx,cfg_layer_position,cfg_model,cfg_num_layers,metric_cosine_similarity,metric_kl_divergence,metric_mse,metric_outlier_pct,metric_sensitivity,metric_weight_range,metric_weight_std
quantization_sensitivity_t0001,completed,0.2322,2,768,0,0.0,12L-768H,12,-0.010122770443558693,0.0260898657143116,2.0202369689941406,0.09378857212141156,1.0101227704435587,7.766664505004883,0.037472184747457504
quantization_sensitivity_t0002,completed,0.1743,3,768,0,0.0,12L-768H,12,0.02779022604227066,0.028002295643091202,1.9444116353988647,0.09378857212141156,0.9722097739577293,7.766664505004883,0.037472184747457504
quantization_sensitivity_t0003,completed,0.1695,4,768,0,0.0,12L-768H,12,0.04683985561132431,0.029373278841376305,1.9063125848770142,0.09378857212141156,0.9531601443886757,7.766664505004883,0.037472184747457504
quantization_sensitivity_t0004,completed,0.1573,6,768,0,0.0,12L-768H,12,0.4139406681060791,0.01769486628472805,1.1721140146255493,0.09378857212141156,0.5860593318939209,7.766664505004883,0.037472184747457504
quantization_sensitivity_t0005,completed,0.1709,8,768,0,0.0,12L-768H,12,0.9091245532035828,0.0027337991632521152,0.1817505806684494,0.09378857212141156,0.09087544679641724,7.766664505004883,0.037472184747457504
quantization_sensitivity_t0006,completed,0.0988,16,768,0,0.0,12L-768H,12,1.0000004768371582,-5.122274160385132e-09,0.0,0.09378857212141156,-4.76837158203125e-07,7.766664505004883,0.037472184747457504
quantization_sensitivity_t0007,completed,0.1669,2,768,1,0.08333333333333333,12L-768H,12,0.598637044429779,0.011985044926404953,0.8027231097221375,0.268597062677145,0.40136295557022095,0.2183484435081482,0.020907677710056305
quantization_sensitivity_t0008,completed,0.1604,3,768,1,0.08333333333333333,12L-768H,12,0.8619676828384399,0.004256824031472206,0.2760641276836395,0.268597062677145,0.13803231716156006,0.2183484435081482,0.020907677710056305
quantization_sensitivity_t0009,completed,0.1575,4,768,1,0.08333333333333333,12L-768H,12,0.9617084860801697,0.001159114297479391,0.07658315449953079,0.268597062677145,0.03829151391983032,0.2183484435081482,0.020907677710056305
quantization_sensitivity_t0010,completed,0.1632,6,768,1,0.08333333333333333,12L-768H,12,0.9973711967468262,7.948698475956917e-05,0.005258068908005953,0.268597062677145,0.002628803253173828,0.2183484435081482,0.020907677710056305
