trial_id,status,duration_s,cfg_exit_layer,cfg_exit_position,cfg_hidden_dim,cfg_model,cfg_num_layers,metric_acceptance_rate,metric_compute_saved_pct,metric_cosine_similarity,metric_effective_speedup,metric_layers_saved,metric_mse
self_speculative_decoding_t0035,completed,0.0138,3,0.094,2048,32L-2048H,32,0.0,87.5,0.436207115650177,2.909090909090909,28,0.8095170259475708
self_speculative_decoding_t0036,completed,0.0086,4,0.125,2048,32L-2048H,32,0.0,84.375,0.5184500217437744,2.6666666666666665,27,0.7343051433563232
self_speculative_decoding_t0037,completed,0.0110,5,0.156,2048,32L-2048H,32,0.0,81.25,0.6113377809524536,2.4615384615384617,26,0.6501926779747009
self_speculative_decoding_t0038,completed,0.0090,6,0.188,2048,32L-2048H,32,0.0,78.125,0.6797857284545898,2.2857142857142856,25,0.5834294557571411
self_speculative_decoding_t0039,completed,0.0130,7,0.219,2048,32L-2048H,32,0.0,75.0,0.7369590401649475,2.1333333333333333,24,0.5232885479927063
self_speculative_decoding_t0040,completed,0.0120,8,0.25,2048,32L-2048H,32,0.0,71.875,0.7688618898391724,2.0,23,0.47882670164108276
self_speculative_decoding_t0041,completed,0.0110,9,0.281,2048,32L-2048H,32,0.0,68.75,0.8235740661621094,1.8823529411764706,22,0.4196482300758362
self_speculative_decoding_t0042,completed,0.0111,10,0.312,2048,32L-2048H,32,0.0,65.625,0.8558944463729858,1.7777777777777777,21,0.3740662634372711
self_speculative_decoding_t0043,completed,0.0123,11,0.344,2048,32L-2048H,32,0.0,62.5,0.882430911064148,1.6842105263157894,20,0.3326272666454315
self_speculative_decoding_t0044,completed,0.0130,12,0.375,2048,32L-2048H,32,0.01484375,59.375,0.8907796740531921,1.6,19,0.3045438826084137
self_speculative_decoding_t0045,completed,0.0106,13,0.406,2048,32L-2048H,32,1.0,56.25,0.9223939180374146,1.5238095238095237,18,0.2594684958457947
self_speculative_decoding_t0046,completed,0.0087,14,0.438,2048,32L-2048H,32,1.0,53.125,0.9371509552001953,1.4545454545454546,17,0.22754506766796112
self_speculative_decoding_t0047,completed,0.0144,15,0.469,2048,32L-2048H,32,1.0,50.0,0.9492615461349487,1.391304347826087,16,0.198374405503273
self_speculative_decoding_t0048,completed,0.0100,16,0.5,2048,32L-2048H,32,1.0,46.875,0.9482442736625671,1.3333333333333333,15,0.1816817969083786
self_speculative_decoding_t0049,completed,0.0099,17,0.531,2048,32L-2048H,32,1.0,43.75,0.9674931764602661,1.28,14,0.14731882512569427
self_speculative_decoding_t0050,completed,0.0114,18,0.562,2048,32L-2048H,32,1.0,40.625,0.9742220044136047,1.2307692307692308,13,0.12505528330802917
self_speculative_decoding_t0051,completed,0.0114,19,0.594,2048,32L-2048H,32,1.0,37.5,0.9797442555427551,1.1851851851851851,12,0.10519550740718842
self_speculative_decoding_t0052,completed,0.0116,20,0.625,2048,32L-2048H,32,1.0,34.375,0.975568413734436,1.1428571428571428,11,0.09715477377176285
self_speculative_decoding_t0053,completed,0.0118,21,0.656,2048,32L-2048H,32,1.0,31.25,0.9879191517829895,1.103448275862069,10,0.07122661918401718
self_speculative_decoding_t0054,completed,0.0126,22,0.688,2048,32L-2048H,32,1.0,28.125,0.9909191131591797,1.0666666666666667,9,0.056917835026979446
self_speculative_decoding_t0055,completed,0.0122,23,0.719,2048,32L-2048H,32,1.0,25.0,0.9933249354362488,1.032258064516129,8,0.04439961537718773
self_speculative_decoding_t0056,completed,0.0123,24,0.75,2048,32L-2048H,32,1.0,21.875,0.9882270693778992,1.0,7,0.04371354728937149
self_speculative_decoding_t0057,completed,0.0121,25,0.781,2048,32L-2048H,32,1.0,18.75,0.9967181086540222,0.9696969696969697,6,0.02440246008336544
self_speculative_decoding_t0058,completed,0.0116,26,0.812,2048,32L-2048H,32,1.0,15.625,0.9978617429733276,0.9411764705882353,5,0.016767174005508423
self_speculative_decoding_t0059,completed,0.0112,27,0.844,2048,32L-2048H,32,1.0,12.5,0.9987137913703918,0.9142857142857143,4,0.01061653159558773
self_speculative_decoding_t0060,completed,0.0114,28,0.875,2048,32L-2048H,32,1.0,9.375,0.9936184883117676,0.8888888888888888,3,0.015893764793872833
self_speculative_decoding_t0061,completed,0.0126,29,0.906,2048,32L-2048H,32,1.0,6.25,0.9997151494026184,0.8648648648648649,2,0.0025992190930992365
self_speculative_decoding_t0062,completed,0.0111,30,0.938,2048,32L-2048H,32,1.0,3.125,0.9999335408210754,0.8421052631578947,1,0.0006434764945879579
