trial_id,status,duration_s,cfg_input_len,cfg_kv_policy,cfg_prompt,cfg_prune_fraction,cfg_quant_level,metric_combined_quality,metric_combined_speed_factor,metric_kv_memory_saved_pct,metric_kv_quality,metric_kv_speed_factor,metric_prune_quality,metric_prune_speed_factor,metric_quality_speed_score,metric_quant_cosine_sim,metric_quant_speed_factor,metric_quant_top_agree
optimization_stacking_t0001,completed,0.0079,61,full,code,0.0,fp16,0.9999943971633911,1.0,0.0,1.0,1.0,1.0,1.0,0.9999943971633911,0.9999943971633911,1.0,1.0
optimization_stacking_t0002,completed,0.0009,61,full,code,0.0,int8_sim,0.9999513626098633,1.5,0.0,1.0,1.0,1.0,1.0,1.499927043914795,0.9999513626098633,1.5,1.0
optimization_stacking_t0003,completed,0.0010,61,full,code,0.0,int4_sim,0.9988241195678711,2.0,0.0,1.0,1.0,1.0,1.0,1.9976482391357422,0.9988241195678711,2.0,1.0
optimization_stacking_t0004,completed,0.0243,61,full,code,0.25,fp16,0.7499958199740773,1.1428571428571428,0.0,1.0,1.0,0.7500000221016577,1.1428571428571428,0.857138079970374,0.9999943971633911,1.0,1.0
optimization_stacking_t0005,completed,0.0244,61,full,code,0.25,int8_sim,0.7499632758370708,1.7142857142857142,0.0,1.0,1.0,0.7500000221016577,1.1428571428571428,1.285651330006407,0.9999510049819946,1.5,1.0
optimization_stacking_t0006,completed,0.0226,61,full,code,0.25,int4_sim,0.7491184246759665,2.2857142857142856,0.0,1.0,1.0,0.7500000221016577,1.1428571428571428,1.7122706849736375,0.9988245368003845,2.0,1.0
optimization_stacking_t0007,completed,0.0182,61,full,code,0.5,fp16,0.49999727851945397,1.3333333333333333,0.0,1.0,1.0,0.5000000799382063,1.3333333333333333,0.6666630380259386,0.9999943971633911,1.0,1.0
optimization_stacking_t0008,completed,0.0177,61,full,code,0.5,int8_sim,0.4999754632159784,2.0,0.0,1.0,1.0,0.5000000799382063,1.3333333333333333,0.9999509264319568,0.9999507665634155,1.5,1.0
optimization_stacking_t0009,completed,0.0214,61,full,code,0.5,int4_sim,0.4994076096744169,2.6666666666666665,0.0,1.0,1.0,0.5000000799382063,1.3333333333333333,1.331753625798445,0.9988150596618652,2.0,1.0
optimization_stacking_t0010,completed,0.0050,61,h2o_50,code,0.0,fp16,0.8593730143028522,1.1764705882352942,50.0,0.8593778292564148,1.1764705882352942,1.0,1.0,1.0110270756504143,0.9999943971633911,1.0,1.0
